V160001,dislikeDems,rephatesdems,demhatesreps
301605,health car issues\\,1,0
301610,"The government can't run our lives for us. We have to take care of ourselves. And the more the government runs, the worse it is for the people who are dependent on it. //",1,0
301618,,1,0
301636,"ther views are significantly more to the progressive liberal view than mine are,",1,0
301661,They dont have a way of paying for many programs that can effect that social platform. Tax the rich to pay for it and that doesn't work to well. I am all for social programing but how are suppossed to pay for it. I am practical I do budgets//,1,0
301665,,1,0
301672,"It is unfavorable to the capitalistic, free-enterprise system. It is not strictly enforcing or supporting the Constitution.//",1,0
301679,liberial,1,0
301691,"they are too much in favor of government controling things,",1,0
301694,,1,0
301706,I think they make too many choices that should be left to the private individual and local community/,1,0
301709,"establishmen disinfrancisment, so spendd happly to quote one Demotract 'He never saw a tax he didn't like', they buy vote frome all the racial thins they do, they do not run a fair election & would not hisitate to stack the ballot box, this is just for starters//",1,0
301721,they are liars/,1,0
301727,False promises they've been giving for years and years and years. Not just to me but to other people and other demographic groups.//They use fear mongering and some tactics to get things passed.//They are just there seems to be a lot of career democrats in the senate and the house for years and years. I can't remember a time when I don't see that person there and I feel like there is a lot of people in there that have been there for a long long time and it doesn't mean that they are effective.//,1,0
301734,,1,0
301741,socialist,1,0
301761,Sometimes I feel they give a little too much.//,1,0
301770,,1,0
301774,the candidates and their policies//,1,0
301776,Communists//,1,0
301782,,1,0
301795,their too much government//,1,0
301807,evil,1,0
301831,Its not about country. They only care about themselves. They want more people on Welfare and disability. They want more people that they can control. That's my opinion.//,1,0
301838,that party always gave away the store like welfare just seem like they give all the minorites free things//,1,0
301839,"third trimester abortion//bringing in refugees//her patriotism, she is corporate//",1,0
301843,They're organizing the wrong stuff. Everything they do to claim to help middle and low class just harms them. //,1,0
301851,entire economic boost//do not like pull the race card in elections//,1,0
301854,Everything.//They are only interested in taking your money and puttting it in their back pocket.//,1,0
301860,"i generally disagree with take from the rich and take from the poor. what is wrong with that; i don't disagree with that they made there money; i don't mind giving someone a handout but it has become ridicious,\\ i don't like their pro choice stance\\i don't think gov't is the sanswer to everyone's problems\\ictuous",1,0
301862,"The abortion and health issues.//Letting people across the borders, foreigners and such.  I don't want to sound snooty.//",1,0
301863,Their trying to back a candidate who has lied to the people and to the government but still is running for the main office of president//,1,0
301865,"Yeah, they want to give everything away.//and who's going to pay for it//",1,0
301896,"I think the other side of the coin, it's too ideal. The world we live in is just not a good foundation for these perfect ideals. It's really hard to implement them when there's human ideals in the way. Considering our flaws. They can be implemented, but I don't think it will work as well as people think.//",1,0
301897,,1,0
301902,"the lying and they are taking away my constitutional rights they are filth, Obama discrased our county when he put of the gay colors on the White house, I'm not predigist//",1,0
301904,I think they want to increase taxes too much and I think they funnel too much money into welfare.//,1,0
301914,too involved in giving away money to social programs and that is not the intention of the federal govt. I'm a constitutionalist and they trashed it// don't like their gun control ideas//,1,0
301918,do not like positions on  subjects//,1,0
301930,I dont like anything about the democratic party//,1,0
301938,Barack Obama and Hillary Clinton,1,0
301948,Inability to reach conclusion or an agreement. //,1,0
301953,"backing hillary after she deleted emails , and she lied and it cost people their lives, they are tying everything in their power to say trump is the worst one for the job as president when she is really the worst one",1,0
301955,Their stand on taxes//,1,0
301969,I guess the same could be said. Their progressive policies//No,1,0
301974,,1,0
301980,They seem to be very good talkers but come through with whatever they promise.  Seem to be a bunch of liars.,1,0
301982,There too liberal.//Leaning on socialism. They want togive the house away. Nobody gave me money when I was a kid.//,1,0
301988,"that they are constantly giving away hardworking citizens money making it too easy for nonworking people to not have to look for a job. They get too much with food stamps, free telephones, housing. They make it so people dont need to work//",1,0
301990,Side with Obama//,1,0
302016,"Pretty much everything.  They are boring on socialism, they controlling of people and every aspect of your life.  Do not the divisivness they are causing among the black and white and police offices, the haves and have-nots.  So much despiraty.//I truly believe that they keep giving thing to minority and keep the people depending on them and trying the keep the vote in that way and they want to give and hand our and not a hand up .  They are pro choice and for immigration.//I feel like they are not proud of America and if you are proud of America you are condemmed for it.  They have weakened our status in the world.//",1,0
302019,"Overregulation.// Liberal on some things like lack of protection of unborn life.  Frivalous spending and increased budgets and programs that should be left to individuals to manage, or the private sector.//",1,0
302029,I just thinnk they are trying give away our freedoms,1,0
302033,,1,0
302048,"health care,",1,0
302052,"most of it, play too much party politics and not worrying about americans//",1,0
302074,,1,0
302075,gun laws/and abortion laws/no,1,0
302076,,1,0
302077,,1,0
302083,they give more tax breaks for the american people//they dont work together with the democrat party,1,0
302089,DESTORY,1,0
302104,Some cases immediately turn their back on people who don't think like me/The nation has turned from freedom to only if you think like me/,1,0
302119,"I don't like that they want to throw money around like it's water.  Too many people expect freebees, and we should be working for it.//",1,0
302126,Just basically that they're more open into abortions and all that stuff.\\,1,0
302130,"they support free loaders, wants us to become socialists//",1,0
302132,"promote class warfare, believe in big government//",1,0
302133,everything,1,0
302142,"I just don't, I disagree with the decisions that they make for our country I just don't think it helps our country//",1,0
302143,there has been a recent trend toward a socialist approach that is uncomfortable to me//,1,0
302172,Theyre intellectually dishonest and corrupt//they have the ends justifies the means philosophy//,1,0
302174,financially totally irresponsible/anti freedom/too given to regulations/have attacked traditional American values/,1,0
302192,social eng,1,0
302216,"I believe them to be more corrupt than the Reepublicans & I don't think they treat minorities fair, I think they are anti-business//",1,0
302220,the people they have in Congress//,1,0
302234,I THINK THEY ARE KILLING THE MIDDLE CLASS.//,1,0
302236,"The policital correctness, they are intolerant of peoples views, they do not play well with others, they belive in a handout instead of a hand-up, their socio economic philosiphy has keep minorities surpressed//",1,0
302261,They support the services the poor at any cost rather that strategit  planing to pay for them//Seems the Democratic do not know how to grow the economy but only to spend bugget and sometimes over spend//,1,0
302275,I don't like them because I don't think any of them are honest democrat or republican. \\,1,0
302308,seems like they spen alot of money/taxes too much//,1,0
302312,they like to spend money that they don't have they don't want to keep the country safe,1,0
302313,,1,0
302333,"Because they're all liars and thieves, that's why. //",1,0
302341,,1,0
302344,I dont like the fact that they feel that wealthy people should pay most of the taxes in this country. I don't like the fact that they've regulated manufacturing out of this country//They mandate healthcare//,1,0
302347,"In Particular? Well Ok, let me just draw from recent events. It's one thing to disagree with policies which there are several that I disagree with on the left. It's an entirely other thing to disagree with the way they conduct themselves. And, thanks, to some internet vigilantes,, we now see that the Democratic party has no interest whatsoever in representing the interest and passions of their voter base. We saw how they tried to cover up obvious favortism for Hilary Clinton. We saw how the tried to cover up obvouis suppression for Bernie Sanders. And Massage polling numbers to give Hilary Clinton an edge that does not exist. They have run possibly the most dis honest campaign ever for Hilary Clinton. I could go on but those are the most recent things. I guesss to sum up... how can anyone support a political party that does not perform it's most basic function which is to accurately represent the passions of it's voter base by allowing democracy to work the way it was intended. Without playing puppet master.",1,0
302364,"I don't like the way they are handleing health care or foreign relations.  I don't like their military stance.//I don't like their socialist type value where they share the wealth.  Makes for a non-driven, weak country.//Basically I don't llike their parties candidate.//",1,0
302365,,1,0
302402,"their pro-abortion postion// and their intitelment postion, and their belife that government is the solution to everthing",1,0
302403,,1,0
302420,THINK THEY ARE TRYING TO RAISE TAXES//MAKE PEOPLE MORE DEPENDANT ON THE GOVERNMENT//,1,0
